大学名,学部名
LEC東京リーガルマインド大学,総合キャリア学部
アール医療専門職大学,リハビリテーション学部
エリザベト音楽大学,音楽学部
お茶の水女子大学,生活科学部
お茶の水女子大学,文教育学部
お茶の水女子大学,理学部
くらしき作陽大学,音楽学部
くらしき作陽大学,子ども教育学部
くらしき作陽大学,食文化学部
こども教育宝仙大学,こども教育学部
サイバー大学,IT総合学部
つくば国際大学,医療保健学部
つくば国際大学,産業社会学部
デジタルハリウッド大学,デジタルコミュニケーション学部
ノースアジア大学,経済学部
ノースアジア大学,法学部
ノートルダム清心女子大学,文学部
ビジネス・ブレークスルー大学,経営学部
びわこ学院大学,教育福祉学部
びわこ成蹊スポーツ大学,スポーツ学部
フェリス女学院大学,音楽学部
フェリス女学院大学,国際交流学部
フェリス女学院大学,文学部
ものつくり大学,技能工芸学部
ヤマザキ動物看護大学,動物看護学部
亜細亜大学,経営学部
亜細亜大学,経済学部
亜細亜大学,国際関係学部
亜細亜大学,都市創造学部
亜細亜大学,法学部
愛国学園大学,人間文化学部
愛知みずほ大学,人間科学部
愛知医科大学,医学部
愛知医科大学,看護学部
愛知学院大学,経営学部
愛知学院大学,経済学部
愛知学院大学,歯学部
愛知学院大学,心身科学部
愛知学院大学,商学部
愛知学院大学,情報社会政策学部
愛知学院大学,心身科学部
愛知学院大学,心理学部
愛知学院大学,文学部
愛知学院大学,法学部
愛知学院大学,薬学部
愛知学泉大学,家政学部
愛知学泉大学,現代マネジメント学部
愛知学泉大学,コミュニティ政策学部
愛知教育大学,教育学部
愛知県立芸術大学,音楽学部
愛知県立芸術大学,美術学部
愛知県立大学,看護学部
愛知県立大学,教育福祉学部
愛知県立大学,情報科学部
愛知県立大学,日本文化学部
愛知工科大学,工学部
愛知工業大学,経営学部
愛知工業大学,工学部
愛知工業大学,情報科学部
愛知産業大学,経営学部
愛知産業大学,造形学部
愛知淑徳大学,医療科学部
愛知淑徳大学,医療福祉学部
愛知淑徳大学,グローバル・コミュニケーション学部
愛知淑徳大学,健康医療科学部
愛知淑徳大学,交流文化学部
愛知淑徳大学,創造表現学部
愛知淑徳大学,人間情報学部
