都道府県ID,大学名,URL,備考,is_active
1,北海道大学,http://www.hokudai.ac.jp/,,
1,北海道教育大学,http://www.hokkyodai.ac.jp/,,
1,帯広畜産大学,http://www.obihiro.ac.jp/,,
1,小樽商科大学,http://www.otaru-uc.ac.jp/,,
1,室蘭工業大学,http://www.muroran-it.ac.jp/,,
1,旭川医科大学,http://www.asahikawa-med.ac.jp/,,
1,北見工業大学,http://www.kitami-it.ac.jp/,,
1,釧路公立大学,http://www.kushiro-pu.ac.jp/,,
1,公立はこだて未来大学,http://www.fun.ac.jp/,,
1,名寄市立大学,http://www.nayoro.ac.jp/,,
1,札幌市立大学,http://www.city.sapporo.jp/daigaku/index.html,,
1,札幌大学,http://www.sapporo-u.ac.jp/,,
1,旭川大学,http://www.asahikawa-u.ac.jp/,,
1,函館大学,http://www.hakodate-u.ac.jp/,,
1,道都大学,http://www.dohto.ac.jp/,,
1,北海道文教大学,http://www.do-bunkyodai.ac.jp/,,
1,北海道情報大学,http://www.do-johodai.ac.jp/,,
1,北海道科学大学,http://www.hus.ac.jp/,旧北海道工業大学 北海道薬科大学と統合,
1,北翔大学,http://www.hokusho-u.ac.jp/,,
1,北星学園大学,http://www.hokusei.ac.jp/,,
1,育英館大学,http://www.wakhok.ac.jp/,2022改称。旧稚内北星学園大学,
1,北海学園大学,http://hgu.jp/,,
1,北海商科大学,http://www.hokkai.ac.jp/,2006年旧北海学園北見大学 北見撤退後新設改称,
1,札幌学院大学,http://www.sgu.ac.jp/,,
1,札幌国際大学,http://www.siu.ac.jp/,,
1,札幌大谷大学,http://www.sapporo-otani-univ.jp/,,
1,札幌医科大学,http://web.sapmed.ac.jp/,,
1,公立千歳科学技術大学,http://www.chitose.ac.jp/index-j.html,,
1,苫小牧駒澤大学,http://www.t-komazawa.ac.jp/,,
1,星槎大学,https://seisa.ac.jp/,通信制大学,
1,星槎道都大学,https://www.seisadohto.ac.jp/,,
1,日本赤十字北海道看護大学,http://www.rchokkaido-cn.ac.jp/main/,,
1,藤女子大学,http://www.fujijoshi.ac.jp/,,
1,天使大学,http://www.tenshi.ac.jp/,,
1,酪農学園大学,http://www.rakuno.ac.jp/,,
1,日本医療大学,http://www.nihoniryo-c.ac.jp/,,
1,北海道千歳リハビリテーション大学,http://www.chitose-reha.ac.jp/,NEW2017,
2,弘前大学,http://www.hirosaki-u.ac.jp/,,
2,青森公立大学,http://www.nebuta.ac.jp/,,
2,青森大学,http://www.aomori-u.ac.jp/,,
2,八戸学院大学,http://www.hachinohe-u.ac.jp/,2013年八戸大学から改称,
2,八戸工業大学,http://www.hi-tech.ac.jp/,,
2,柴田学園大学,http://www.tojo.ac.jp/,2021年東北女子大から改称,
2,弘前学院大学,http://www.hirogaku-u.ac.jp/,,
2,青森中央学院大学,http://www.aomoricgu.ac.jp/,,
2,弘前医療福祉大学,http://www.jyoto-gakuen.ac.jp/,,
5,秋田大学,http://www.akita-u.ac.jp/,,
5,秋田県立大学,https://www.akita-pu.ac.jp/,,
5,国際教養大学,http://www.aiu.ac.jp/,,
5,秋田公立美術大学,http://www.amcac.ac.jp/aua/index.htm,,
